CustomerID,TransactionDate,TransactionAmount,Name,Email,Gender,Age,City,MaritalStatus,NumChildren,JoinDate
CUST10771,2023-07-31,2383.07,Lakshay Dhillon,dharmajantara@gmail.com,Female,27,Ahmedabad,Widowed,3,2023-05-31
CUST10100,2024-03-10,497.54,Aniruddh Borah,jivikabhavsar@gmail.com,Female,53,Lucknow,Divorced,4,2022-01-08
CUST10031,2025-02-17,536.78,Ritvik Ahuja,jhaverifarhan@chandra.org,Male,40,Ahmedabad,Single,0,2023-12-03
CUST10987,2023-07-17,314.89,Jayan Wagle,ojas82@gmail.com,Not Disclosed,75,Bangalore,Widowed,4,2022-03-18
CUST10831,2024-12-15,2543.19,Ishita Agarwal,vbalay@yahoo.com,Not Disclosed,27,Jaipur,Divorced,4,2021-06-30
CUST10404,2025-02-28,432.22,Vidur Dasgupta,riya24@yahoo.com,Not Disclosed,33,Hyderabad,Married,2,2023-02-09
CUST10488,2025-06-07,2178.25,Adah Raval,jkara@divan.com,Male,36,Bangalore,Single,2,2022-07-30
CUST10988,2025-03-25,85.46,Shamik Salvi,boasekrish@mammen.com,Not Disclosed,19,Chennai,Divorced,2,2023-09-27
CUST10657,2023-09-10,1800.32,Navya Boase,mallickrati@khatri.net,Not Disclosed,49,Mumbai,Widowed,3,2022-06-05
CUST10007,2023-12-15,305.9,Zeeshan Salvi,ira51@saini-kumar.com,Not Disclosed,32,Pune,Widowed,1,2021-08-10
CUST10897,2023-07-16,726.91,Parinaaz Ramanathan,rsathe@yahoo.com,Female,51,Lucknow,Single,0,2022-06-16
CUST10300,2023-05-09,385.41,Nirvaan Korpal,charvigola@rout.org,Male,59,Delhi,Married,1,2020-12-28
CUST10710,2025-04-04,305.66,Divit Toor,saksham79@ram.biz,Not Disclosed,73,Mumbai,Widowed,1,2024-02-18
CUST10480,2025-02-04,1812.17,Divit Wason,btandon@balakrishnan.com,Female,71,Mumbai,Divorced,1,2020-11-01
CUST10480,2024-01-16,1560.58,Divit Wason,btandon@balakrishnan.com,Female,71,Mumbai,Divorced,1,2020-11-01
CUST10377,2023-10-24,465.32,Divyansh Choudhary,jjain@sama.net,Not Disclosed,18,Mumbai,Widowed,0,2022-10-09
CUST10184,2025-02-19,672.1,Miraan Cheema,saira70@kunda.com,Female,23,Ahmedabad,Single,3,2022-12-01
CUST10214,2025-06-17,1224.7,Riya Date,sairababu@hotmail.com,Female,18,Hyderabad,Divorced,2,2024-07-25
CUST10488,2023-07-12,463.81,Adah Raval,jkara@divan.com,Male,36,Bangalore,Single,2,2022-07-30
CUST10892,2024-08-13,398.16,Diya Bassi,akarshthakur@dasgupta.biz,Not Disclosed,46,Delhi,Widowed,1,2023-11-21
CUST10561,2024-01-15,300.17,Charvi Guha,thakeraradhya@singh-dalia.com,Male,60,Lucknow,Single,0,2022-09-23
CUST10879,2023-02-01,993.99,Priyansh Koshy,qvasa@din-edwin.com,Not Disclosed,74,Delhi,Married,2,2020-09-25
CUST10959,2023-10-28,715.54,Devansh Din,samarth67@sami.com,Male,26,Pune,Widowed,0,2021-02-10
CUST10204,2025-02-08,381.65,Lavanya Bhalla,aaryahi04@gmail.com,Male,67,Kolkata,Single,2,2022-08-28
CUST10531,2024-05-12,866.56,Ojas Ray,emani@hotmail.com,Male,59,Delhi,Married,1,2023-07-22
CUST10755,2023-12-26,486.07,Elakshi Dara,aaryahi20@ranganathan.com,Female,66,Hyderabad,Single,4,2022-11-16
CUST10805,2024-09-12,913.33,Divyansh Sane,subramanianmanikya@chauhan-bahl.org,Female,34,Ahmedabad,Married,2,2024-03-08
CUST10547,2024-08-08,1298.6,Darshit Sura,fwagle@yahoo.com,Male,50,Pune,Married,2,2024-06-05
CUST10657,2025-03-19,1042.5,Navya Boase,mallickrati@khatri.net,Not Disclosed,49,Mumbai,Widowed,3,2022-06-05
CUST10231,2025-04-04,626.01,Charvi Mammen,aradhyabandi@hotmail.com,Female,67,Delhi,Widowed,2,2024-03-15
CUST10141,2022-11-22,705.63,Amira Aurora,xdevi@yahoo.com,Female,56,Ahmedabad,Married,1,2022-03-10
CUST10443,2024-09-12,1272.25,Ivana Rout,yakshitboase@saran.com,Male,61,Chennai,Single,2,2023-02-12
CUST10715,2025-05-21,1031.61,Nirvaan Sagar,urvi22@kashyap.com,Not Disclosed,56,Kolkata,Divorced,0,2024-03-20
CUST10919,2025-07-08,1545.22,Kabir Gola,sarajoshi@kashyap.com,Male,48,Delhi,Married,4,2024-02-03
CUST10765,2022-06-02,1210.21,Jhanvi Bhargava,subramaniamivana@yahoo.com,Female,68,Bangalore,Widowed,0,2021-01-23
CUST10203,2024-03-07,655.35,Charvi Chada,goyaladira@garg.net,Female,61,Hyderabad,Married,3,2021-11-18
CUST10734,2025-01-31,1798.01,Myra Dave,bandizoya@hotmail.com,Female,24,Pune,Single,0,2023-10-25
CUST10373,2022-02-01,2249.7,Umang Date,miraya28@rana.com,Male,32,Delhi,Married,4,2021-09-28
CUST10503,2024-07-22,3189.99,Kartik Barad,aniruddh32@chahal.org,Female,26,Lucknow,Married,0,2022-09-05
CUST10233,2024-09-16,217.87,Shaan Chowdhury,ojas47@yahoo.com,Male,53,Hyderabad,Widowed,1,2020-08-27
CUST10049,2024-12-03,940.96,Neelofar Choudhary,singhdiya@vyas.net,Male,38,Lucknow,Widowed,3,2022-01-03
CUST10251,2023-07-13,1536.49,Ivan Iyer,jkrishnan@yahoo.com,Male,56,Bangalore,Widowed,1,2021-12-25
CUST10850,2022-10-26,1054.13,Lakshay Jain,nakulthaker@bora-rana.org,Not Disclosed,74,Hyderabad,Divorced,0,2021-06-20
CUST10117,2023-11-10,90.94,Oorja Shanker,piya42@swaminathan-sundaram.com,Female,37,Lucknow,Divorced,2,2023-09-13
CUST10991,2025-06-28,990.86,Kavya Kant,chareshani@saraf-kanda.com,Female,24,Hyderabad,Divorced,2,2024-05-08
CUST10371,2025-05-19,1428.33,Seher Dey,amira61@hotmail.com,Female,65,Bangalore,Single,2,2024-04-12
CUST10068,2022-08-09,697.9,Diya Bawa,goeldarshit@hotmail.com,Male,45,Kolkata,Divorced,1,2020-10-07
CUST10712,2024-01-20,710.35,Yuvraj  Sundaram,hanshkamdar@gmail.com,Not Disclosed,68,Kolkata,Single,1,2023-02-10
CUST10043,2022-05-10,968.0,Hridaan Mahajan,misha83@doctor.net,Female,65,Bangalore,Widowed,1,2021-02-10
CUST10217,2023-02-07,912.54,Trisha Sur,hazel45@yahoo.com,Not Disclosed,70,Jaipur,Widowed,2,2021-08-05
CUST10442,2023-11-20,914.47,Aayush Agate,wsathe@wali.com,Male,53,Chennai,Widowed,3,2022-06-06
CUST10339,2023-11-10,1795.7,Vivaan Bahri,aarush78@lall.biz,Female,67,Kolkata,Widowed,0,2021-07-24
CUST10754,2023-08-02,613.8,Zoya Tara,saneyuvraj@sridhar-ratti.com,Male,22,Kolkata,Divorced,2,2021-05-22
CUST10416,2024-12-25,485.29,Umang Dhar,dugalnirvi@borah.com,Male,52,Chennai,Divorced,2,2020-08-18
CUST10460,2025-05-22,630.5,Yasmin Arora,manikya55@biswas.biz,Female,53,Mumbai,Single,3,2024-03-25
CUST10452,2022-04-20,861.79,Nitya Ravel,vihaan59@yahoo.com,Male,22,Ahmedabad,Widowed,3,2020-11-04
CUST10837,2022-07-14,576.75,Alisha Shetty,nishith22@hotmail.com,Not Disclosed,29,Mumbai,Single,4,2021-02-14
CUST10471,2025-04-29,1899.99,Drishya Sawhney,manneurvi@sibal.net,Male,43,Chennai,Married,1,2023-12-23
CUST10901,2022-05-13,307.55,Rasha Khalsa,tedwin@ratta-kunda.com,Not Disclosed,57,Mumbai,Married,2,2020-09-26
CUST10672,2025-07-15,947.52,Badal Sha,shamik01@gmail.com,Not Disclosed,21,Mumbai,Widowed,1,2024-04-16
CUST10609,2024-12-01,1408.59,Romil Setty,zahuja@sagar.com,Female,23,Ahmedabad,Single,1,2024-06-26
CUST10763,2023-11-16,356.87,Adira Chokshi,abava@buch-maharaj.com,Male,22,Kolkata,Married,2,2022-12-31
CUST10631,2025-07-18,224.09,Manjari Mannan,tsandal@yahoo.com,Male,57,Lucknow,Single,1,2024-05-25
CUST10669,2022-04-12,1053.77,Biju Jani,prishabora@yahoo.com,Female,29,Jaipur,Widowed,2,2022-02-22
CUST10659,2025-07-06,1080.71,Onkar Mane,ela59@gmail.com,Male,74,Chennai,Single,0,2024-04-21
CUST10459,2025-07-07,240.86,Ivana Johal,aaravchoudhary@lata.com,Male,54,Mumbai,Married,1,2022-10-24
CUST10380,2024-08-13,808.6,Shlok Anand,pranayrout@bansal.com,Male,31,Pune,Divorced,0,2022-11-08
CUST10040,2022-06-25,164.97,Ishita Vig,aptemyra@dhillon.info,Not Disclosed,19,Kolkata,Divorced,2,2020-11-18
CUST10208,2024-11-26,817.54,Anaya Chaudhry,kavya88@yahoo.com,Female,75,Pune,Divorced,0,2022-12-14
CUST10932,2024-08-01,426.43,Nakul Babu,lagan31@gmail.com,Female,37,Pune,Married,0,2022-11-03
CUST10697,2023-10-18,117.36,Manikya Bhalla,kdass@dora.com,Not Disclosed,32,Chennai,Married,2,2020-12-24
CUST10265,2025-04-18,1913.05,Shamik Raman,akarshgola@gmail.com,Female,35,Mumbai,Divorced,4,2022-05-29
CUST10133,2025-07-21,274.17,Aayush Kurian,godazaina@hotmail.com,Male,58,Ahmedabad,Single,1,2021-12-21
CUST10846,2021-05-02,1524.08,Elakshi Shan,krishshlok@hotmail.com,Male,50,Mumbai,Widowed,3,2021-02-02
CUST10953,2023-10-23,264.81,Vanya Barad,tarathakkar@manda-mani.com,Male,66,Ahmedabad,Single,1,2022-06-20
CUST10530,2023-01-24,1241.61,Anika Kanda,misha62@gmail.com,Male,32,Hyderabad,Widowed,1,2022-04-21
CUST10776,2022-10-24,1456.99,Tanya Sandal,gatik84@gmail.com,Female,33,Lucknow,Divorced,1,2022-04-12
CUST10757,2024-05-05,492.17,Adira Balasubramanian,jiya00@yahoo.com,Female,39,Lucknow,Divorced,3,2023-05-12
CUST10110,2024-02-21,1465.49,Raunak Sahni,bathaarush@desai-kata.com,Male,72,Kolkata,Widowed,1,2022-05-13
CUST10806,2025-07-26,863.76,Kiara Goda,dguha@bal.org,Female,20,Mumbai,Married,2,2024-05-22
CUST10778,2024-12-14,1529.43,Shayak Ghosh,vardaniya74@contractor.biz,Male,59,Pune,Single,0,2020-10-23
CUST10904,2022-04-15,1417.64,Prisha Chandran,emirsarkar@gmail.com,Male,47,Kolkata,Single,0,2020-10-24
CUST10425,2024-11-30,1223.95,Oorja Toor,dsekhon@yahoo.com,Male,65,Ahmedabad,Divorced,0,2022-10-02
CUST10858,2024-03-30,925.42,Nitara Krish,abandi@dutta-mangat.com,Male,36,Delhi,Single,2,2023-12-30
CUST10204,2023-03-09,992.6,Lavanya Bhalla,aaryahi04@gmail.com,Male,67,Kolkata,Single,2,2022-08-28
CUST10335,2022-02-17,1356.13,Umang Iyengar,qsalvi@gmail.com,Not Disclosed,31,Kolkata,Married,2,2021-04-19
