CustomerID,Name,Email,Gender,Age,City,MaritalStatus,NumChildren,JoinDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST10000,Onkar Bhargava,pkeer@yahoo.com,Male,54,Delhi,Divorced,0,2021-02-22,13,23,21265.49,4,3,2,432,Other
CUST10001,Divit Kohli,mkalita@sarin.com,Female,48,Kolkata,Married,0,2023-12-06,35,30,28654.31,3,5,5,355,Big Spenders
CUST10002,Kiara Behl,apteanay@hotmail.com,Male,75,Kolkata,Widowed,2,2023-08-23,18,24,23884.03,4,3,3,433,Other
CUST10003,Vaibhav Sankar,bseshadri@choudhry.info,Male,62,Pune,Divorced,2,2022-11-17,81,25,24206.03,1,4,3,143,At Risk
CUST10004,Shray D’Alia,bdhillon@toor-mall.com,Male,55,Delhi,Divorced,0,2022-12-04,8,19,25565.3,5,1,4,514,Other
CUST10005,Fateh Sharaf,qkulkarni@gmail.com,Male,59,Jaipur,Single,3,2021-05-13,24,29,29459.82,4,5,5,455,Loyal Customers
CUST10006,Khushi Wadhwa,craja@yahoo.com,Female,61,Hyderabad,Widowed,2,2021-11-12,11,28,27922.36,5,5,5,555,Best Customers
CUST10007,Zeeshan Salvi,ira51@saini-kumar.com,Not Disclosed,32,Pune,Widowed,1,2021-08-10,86,15,14957.06,1,1,1,111,Lost Customers
CUST10008,Elakshi Trivedi,ayesha07@gmail.com,Female,32,Hyderabad,Widowed,4,2023-11-20,3,19,19479.25,5,1,2,512,Other
CUST10009,Neelofar Chada,abramsolanki@madan.com,Male,44,Jaipur,Single,0,2021-11-20,7,25,22832.83,5,4,3,543,Loyal Customers
CUST10010,Kashvi Goda,nirvi89@hotmail.com,Not Disclosed,73,Ahmedabad,Single,2,2022-04-18,14,20,20932.93,4,2,2,422,Other
CUST10011,Vardaniya Varty,aaryahibala@virk-gopal.org,Not Disclosed,63,Jaipur,Widowed,1,2020-08-06,17,22,23159.47,4,2,3,423,Other
CUST10012,Dishani Jhaveri,zeeshan50@hotmail.com,Not Disclosed,30,Ahmedabad,Divorced,1,2022-12-07,59,28,26626.07,2,5,4,254,At Risk
CUST10013,Amira Rama,myrachakrabarti@master.com,Female,72,Jaipur,Widowed,1,2022-11-15,13,19,14536.66,4,1,1,411,Other
CUST10014,Arhaan Trivedi,vigadvik@amble-shroff.com,Male,48,Hyderabad,Widowed,1,2023-12-21,32,21,23325.0,3,2,3,323,Other
CUST10015,Faiyaz Sur,riaan12@datta.com,Male,41,Jaipur,Divorced,0,2021-08-20,6,20,26315.71,5,2,4,524,Other
CUST10016,Neelofar Sawhney,usarna@yahoo.com,Not Disclosed,50,Delhi,Married,1,2023-05-15,4,24,24607.24,5,3,4,534,Other
CUST10017,Anay Dugal,aaina34@gmail.com,Female,41,Pune,Single,1,2022-08-03,42,25,21241.48,3,4,2,342,Other
CUST10018,Mahika Kalita,advikissac@badami.com,Female,63,Lucknow,Widowed,2,2021-08-26,72,19,20383.92,2,1,2,212,Lost Customers
CUST10019,Inaaya  Thaman,hchoudhury@aurora.org,Male,50,Hyderabad,Single,2,2022-06-21,155,25,24529.64,1,4,4,144,At Risk
CUST10020,Nirvi Raval,shanrohan@gmail.com,Not Disclosed,73,Jaipur,Married,1,2023-12-29,4,22,19111.42,5,2,2,522,Other
CUST10021,Ryan Banik,rohan26@date.net,Female,72,Lucknow,Divorced,1,2021-06-23,19,20,18806.9,4,2,2,422,Other
CUST10022,Kiara Tank,xchada@rastogi.biz,Female,60,Jaipur,Single,1,2024-04-24,60,15,21368.65,2,1,3,213,Lost Customers
CUST10023,Divyansh Chauhan,bhaminiben@hotmail.com,Not Disclosed,50,Bangalore,Married,1,2021-06-05,79,27,30622.22,1,4,5,145,Big Spenders
CUST10024,Dishani Krish,manjari64@brar.com,Male,48,Chennai,Married,3,2022-03-26,8,24,25362.43,5,3,4,534,Other
CUST10025,Shayak Kala,pari16@gera.net,Female,49,Chennai,Widowed,1,2024-01-10,4,19,14074.55,5,1,1,511,New Customers
CUST10026,Chirag Seshadri,bhavsarjayan@luthra.com,Not Disclosed,52,Lucknow,Divorced,1,2022-08-20,69,25,23621.41,2,4,3,243,At Risk
CUST10027,Kismat Kulkarni,shayak51@yahoo.com,Male,69,Hyderabad,Married,1,2023-10-21,30,20,22327.31,3,2,3,323,Other
CUST10028,Himmat Mann,arnav61@verma-subramaniam.com,Male,73,Delhi,Divorced,0,2021-07-29,11,18,18921.46,5,1,2,512,Other
CUST10029,Shlok Bhandari,mangalira@gmail.com,Not Disclosed,22,Delhi,Single,1,2024-02-06,41,24,27318.86,3,3,4,334,Other
CUST10030,Priyansh Gopal,karnikraghav@gmail.com,Female,33,Ahmedabad,Single,2,2022-12-25,72,17,15128.23,2,1,1,211,Lost Customers
CUST10031,Ritvik Ahuja,jhaverifarhan@chandra.org,Male,40,Ahmedabad,Single,0,2023-12-03,35,23,25724.97,3,3,4,334,Other
CUST10032,Farhan Kar,indranilsharaf@kalla.net,Female,51,Bangalore,Divorced,2,2022-05-14,44,27,30688.06,2,4,5,245,Big Spenders
CUST10033,Ira Date,divyansh35@gmail.com,Female,47,Chennai,Widowed,1,2024-06-10,1,16,12485.71,5,1,1,511,New Customers
CUST10034,Vedika Divan,uhayre@yahoo.com,Male,37,Kolkata,Divorced,1,2020-09-09,153,21,30387.64,1,2,5,125,Big Spenders
CUST10035,Samar Rama,dassmadhav@hotmail.com,Male,34,Delhi,Divorced,3,2020-11-03,29,30,32232.78,3,5,5,355,Big Spenders
CUST10036,Nitara Gokhale,hrishitachawla@yahoo.com,Not Disclosed,31,Lucknow,Widowed,2,2023-11-19,39,17,12860.83,3,1,1,311,Other
CUST10037,Taran Baria,shettyalia@gmail.com,Male,32,Mumbai,Widowed,0,2021-06-03,107,27,27130.43,1,4,4,144,At Risk
CUST10038,Manikya Hayer,gadekabir@yahoo.com,Not Disclosed,28,Pune,Widowed,1,2023-05-07,18,24,23476.27,4,3,3,433,Other
CUST10039,Nirvaan Ganesh,dasmadhup@swamy.biz,Male,58,Jaipur,Widowed,0,2023-12-12,58,22,23178.1,2,2,3,223,Lost Customers
CUST10040,Ishita Vig,aptemyra@dhillon.info,Not Disclosed,19,Kolkata,Divorced,2,2020-11-18,9,23,24650.49,5,3,4,534,Other
CUST10041,Divyansh Krishna,kumarnitya@gmail.com,Female,21,Ahmedabad,Married,4,2022-07-27,95,21,18174.28,1,2,2,122,Lost Customers
CUST10042,Hridaan Tara,emir89@yahoo.com,Male,37,Delhi,Single,1,2021-05-03,69,17,18488.29,2,1,2,212,Lost Customers
CUST10043,Hridaan Mahajan,misha83@doctor.net,Female,65,Bangalore,Widowed,1,2021-02-10,29,30,29659.3,3,5,5,355,Big Spenders
CUST10044,Riya Venkataraman,vanya17@maharaj-dass.net,Male,18,Jaipur,Single,1,2021-03-31,111,23,28420.19,1,3,5,135,Big Spenders
CUST10045,Aayush Hora,pranaykibe@gmail.com,Male,75,Lucknow,Widowed,0,2022-06-11,11,27,26609.66,4,4,4,444,Loyal Customers
CUST10046,Kaira Andra,kavya29@biswas.com,Not Disclosed,57,Jaipur,Single,1,2023-12-12,11,30,30458.69,4,5,5,455,Loyal Customers
CUST10047,Jayant Ramesh,aradhyaaggarwal@lalla.net,Female,24,Hyderabad,Widowed,1,2022-04-07,30,18,19168.24,3,1,2,312,Other
CUST10048,Piya Reddy,sakshamkota@khatri.biz,Female,24,Kolkata,Divorced,1,2024-05-16,30,18,19989.84,3,1,2,312,Other
CUST10049,Neelofar Choudhary,singhdiya@vyas.net,Male,38,Lucknow,Widowed,3,2022-01-03,16,34,35725.15,4,5,5,455,Loyal Customers
CUST10050,Sahil Dixit,ivan79@gmail.com,Male,28,Hyderabad,Divorced,2,2023-10-31,16,17,19831.64,4,1,2,412,Other
CUST10051,Mahika Kurian,indransdass@yahoo.com,Not Disclosed,68,Bangalore,Divorced,1,2024-03-20,23,23,24862.97,4,3,4,434,Other
CUST10052,Bhamini Sangha,veer82@hotmail.com,Female,61,Delhi,Widowed,3,2021-07-02,114,23,22263.09,1,3,3,133,At Risk
CUST10053,Eshani Bath,deolsara@gmail.com,Female,74,Jaipur,Widowed,2,2023-09-05,29,30,41674.56,3,5,5,355,Big Spenders
CUST10054,Ahana  Varghese,bsuresh@butala-gaba.info,Not Disclosed,33,Delhi,Single,0,2021-03-02,20,33,36861.79,4,5,5,455,Loyal Customers
CUST10055,Lakshit Bhasin,qbhargava@yahoo.com,Male,28,Jaipur,Married,0,2021-02-10,5,27,26342.37,5,4,4,544,Loyal Customers
CUST10056,Uthkarsh Shere,evakanda@anne.org,Female,56,Jaipur,Divorced,1,2021-10-03,32,30,32921.23,3,5,5,355,Big Spenders
CUST10057,Lagan Chadha,hrishitachaudhry@yahoo.com,Female,25,Ahmedabad,Married,3,2021-08-09,131,21,21213.26,1,2,2,122,Lost Customers
CUST10058,Pihu Kapoor,ayesha61@mangal.com,Not Disclosed,67,Pune,Married,1,2021-11-24,61,24,22180.19,2,3,3,233,At Risk
CUST10059,Zara Arora,mahajanritvik@sidhu.com,Male,38,Mumbai,Widowed,0,2021-10-13,19,23,21670.18,4,3,3,433,Other
CUST10060,Kaira Swaminathan,rkrishnamurthy@yahoo.com,Male,71,Bangalore,Divorced,0,2020-11-22,32,26,29647.63,3,4,5,345,Big Spenders
CUST10061,Aarav Bhatia,tgill@hotmail.com,Not Disclosed,68,Kolkata,Single,1,2023-10-20,5,21,19094.82,5,2,2,522,Other
CUST10062,Vardaniya Setty,sabharwaluthkarsh@yahoo.com,Male,54,Delhi,Divorced,1,2022-04-10,18,27,30194.73,4,4,5,445,Loyal Customers
CUST10063,Ranbir Ravi,hrama@sharma-sawhney.com,Female,54,Jaipur,Single,1,2021-06-10,72,22,19584.72,2,2,2,222,Lost Customers
CUST10064,Alisha Rao,eshani06@kala.org,Female,24,Mumbai,Divorced,0,2023-07-25,33,26,20293.07,3,4,2,342,Other
CUST10065,Bhamini Sharma,mohanlal06@rau.biz,Not Disclosed,18,Delhi,Widowed,0,2023-01-22,104,13,15173.99,1,1,1,111,Lost Customers
CUST10066,Jayesh Sinha,ghoshprerak@jha.net,Male,30,Hyderabad,Widowed,0,2023-11-26,26,19,16980.34,3,1,1,311,Other
CUST10067,Anahi Thaman,dchad@hotmail.com,Female,28,Hyderabad,Married,2,2021-11-12,178,27,28540.52,1,4,5,145,Big Spenders
CUST10068,Diya Bawa,goeldarshit@hotmail.com,Male,45,Kolkata,Divorced,1,2020-10-07,35,20,26811.92,3,2,4,324,Other
CUST10069,Ivan Kulkarni,iyermyra@devi.com,Not Disclosed,48,Chennai,Single,0,2022-06-16,7,27,29745.91,5,4,5,545,Loyal Customers
CUST10070,Miraan Wali,darshit18@hotmail.com,Female,20,Mumbai,Single,2,2022-10-27,28,25,23412.36,3,4,3,343,Other
CUST10071,Diya Mallick,rohansachdeva@saxena.com,Female,64,Lucknow,Divorced,1,2022-02-20,50,27,21414.22,2,4,3,243,At Risk
